Key,Source,Context,Changes,English,French,German,Klingon,Spanish
denimJacket,items,Clothes,KgNone,Denim Jacket,,,,
denimJacketDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimPants,items,Clothes,KgNone,Blue Denim Pants,,,,
denimPantsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPants,items,Clothes,New,White Shorts,,,,
denimShortsPantsBlack,items,Clothes,New,Black Shorts,,,,
denimShortsPantsBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPantsBlue,items,Clothes,New,Blue Shorts,,,,
denimShortsPantsBlueDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPantsBrown,items,Clothes,New,Brown Shorts,,,,
denimShortsPantsBrownDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPantsDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPantsGreen,items,Clothes,New,Green Shorts,,,,
denimShortsPantsGreenDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
denimShortsPantsRed,items,Clothes,New,Red Shorts,,,,
denimShortsPantsRedDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Cloth[-]\n\n,,,,
desertGround,blocks,Terrain,KgNone,Desert Ground,,,,
desertGroundDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain in the proper shade of sand.,,,,
destroyedStone,blocks,Terrain,KgNone,Destroyed Stone,,,,
destroyedStoneDesc,blocks,Terrain,New,Destroyed stone can be crafted quickly to fill a hole but it is not very stable.,,,,
devOnlyGroupDesc,blocks,Block,New,Only use for development and testing.,,,,
diamondarmordesc,items,Item,,Learn through Diamond Armor skill. The king of armor sets. Very expensive. Much swank. Command respect with this s*it.,,,,
diamondarmorskilldesc,progression,Skill,KgNone, This skill allows you to build the super diamond armor set. prettty badass.,,,,
diamondaugerdesc,items,Tool,KgNone,This version of the auger is built with diamondauger parts. Does 2x block damage and lasts 4x longer.,,,,
diamondBoots,items,Clothes,,Diamond Armor Boots,,,,
diamondChest,items,Clothes,,Diamond Armor Chest,,,,
diamonddesc, Items,Item,KgNone,"Use these to build end game items like turrets, traps, armor and the o.p Diamond Tipped Auger, can not sell to trader.",,,,
diamondefensedesc,items,Item,KgNone,Adds another layer of defense on top of clothing/armor.,,,,
diamondGloves,items,Clothes,,Diamond Armor Gloves,,,,
diamondLegs,items,Clothes,,Diamond Armor Legs,,,,
diamondMask,items,Clothes,,Diamond Armor Mask,,,,
diamondMingHelmetdesc,items,Clothes,,This helmet is part of the Diamond Class Armor and offers GREAT concussive & puncture defense & the added bonus of a mobile light source. No more dark caves for you.,,,,
diamondMiningHelmet,items,Clothes,,Diamond Armor Mining Helmet,,,,
diamondOre,blocks,Terrain,New,Diamond Deposit,,,,
diedGameMessage,UI,HUD,KgNone,[A0]{0} died,,,,
dinnerPlate,items,Food,,Dinner Plate,,,,
dinnerPlateDesc,items,Food,,Use dinner plates to make delicious meals.,,,,
dirt,blocks,Terrain,KgNone,Dirt,,,,
dirtFragment,items,Item,New,Dirt Fragment,,,,
dirtFragmentDesc,items,Item,New,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\n\nDoes not sound very exciting but it might have something to do with farming.,,,,
disinfectantBandage,items,Medical,,Disinfectant Bandage,,,,
disinfectantBandageDesc,items,Medical,,This bandage has been soaked in peroxide to cure stage 1 infection when applied to bites or scratches.,,,,
dismantle10mmBullets,items,Gun,,Dismantle - 10mm Bullets,,,,
dismantle10mmBullets30,items,Gun,,Dismantle - 10mm Bullets (30),,,,
dismantle44MagBullets,items,Gun,,Dismantle - 44Mag Bullets,,,,
dismantle44MagBullets30,items,Gun,,Dismantle - 44Mag Bullets (30),,,,
dismantle762mmBullets,items,Gun,,Dismantle - 762mm Bullets,,,,
dismantle762mmBullets30,items,Gun,,Dismantle - 762mm Bullets (30),,,,
dismantle9mmBullets,items,Gun,,Dismantle - 9mm Bullets,,,,
dismantle9mmBullets30,items,Gun,,Dismantle - 9mm Bullets (30),,,,
dismantleammo,items,Gun,,Dismantle your ammo down into its base components. Requires the Armory.,,,,
dismantleShotgunShells,items,Gun,,Dismantle - Shotgun Shells,,,,
dismantleShotgunShells30,items,Gun,,Dismantle - Shotgun Shells (30),,,,
doItYourselfDesc,progression,Perk,New,Why go out and risk your life scavenging when you can build your own parts?,,,,
doItYourselfName,progression,Perk,New,Do It Yourself,,,,
dolphininacan,items,Item,KgNone,Dolphin In A Can,,,,
door,items,Item,GrNone,Door,,,,
doorFrameMetal1,blocks,Block,KgNone,Door Frame Metal1,,,,
doorFrameMetal2,blocks,Block,KgNone,Door Frame Metal2,,,,
doorFrameMetalBoarded1,blocks,Block,KgNone,Door Frame Metal Boarded1,,,,
doorFrameMetalBoarded2,blocks,Block,KgNone,Door Frame Metal Boarded2,,,,
doorFrameWhite1,blocks,Block,KgNone,Door Frame White1,,,,
doorFrameWhite2,blocks,Block,KgNone,Door Frame White2,,,,
doorFrameWhiteBoarded1,blocks,Block,KgNone,Door Frame White Boarded1,,,,
doorFrameWhiteBoarded2,blocks,Block,KgNone,Door Frame White Boarded2,,,,
doorGroupDesc,blocks,Block,New,Press & hold [activate] to lock it or set a combination. Upgrade & repair with a construction tool using the secondary action.,,,,
doorKnob,items,Item,KgNone,Brass Doorknob,,,,
doorKnobDesc,items,Item,KgNone,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Smithing Table[-]\nRequires: [decea3]Blacksmith (Level 5)[-]\nMaterial: [decea3]Brass[-]\n\nBrass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,,,,
doorLocked,UI,Menu,KgNone,Door Locked,,,,
doorUnlocked,UI,Menu,KgNone,Door Unlocked,,,,
drawBridgeGroupDesc,blocks,Block,New,It's old-fashioned but with everything that's happening you might just need a little old-fashioned. ,,,,
dressShoesBlack,items,Clothes,New,Black Dress Shoes,,,,
dressShoesBlackDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Leather[-]\n\n,,,,
driftwood,blocks,Block,KgNone,Driftwood,,,,
driftwood2,blocks,Block,KgNone,Driftwood2,,,,
drinkEnergy,items,Food,,Energy Drink,,,,
drinkEnergyDesc,items,Food,,While not delicious this drink will reinvigorate your energy.,,,,
drinkHealth,items,Medical,,Health Drink,,,,
drinkHealthDesc,items,Medical,,The advertisements all promised these drinks were healthy for human consumption so they must be,,,,
DroppedLootContainer,entityclasses,Entity Info,New,Dropped Loot,,,,
drowning,buffs,Buff,KgNone,Drowning,,,,
drowningDesc,buffs,Buff,KgNone,You are drowning.,,,,
drowningTooltip,buffs,Buff,KgNone,You are drowning.,,,,
drunk,buffs,Buff,KgNone,Drunk,,,,
drunkDesc,buffs,Buff,KgNone,You are drunk.,,,,
drunkTooltip,buffs,Buff,KgNone,You are drunk. There may be a duration but you can't figure it out.,,,,
ductControlPanel,blocks,Block,KgNone,Duct Control Panel,,,,
ductControlPanelCorner,blocks,Block,KgNone,Duct Control Panel Corner,,,,
ductControlPanelCornerDesc,blocks,Block,,Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Carpenters Table[-]\nMaterial: [decea3]Iron[-]\n\nFurniture can make your place look pretty but it usually has little defensive value.,,,,
ductControlPanelDesc,blocks,Block,,Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Carpenters Table[-]\nMaterial: [decea3]Iron[-]\n\nFurniture can make your place look pretty but it usually has little defensive value.,,,,
ductSoft,blocks,Block,GrChanged,Duct Soft,,,,
ductSoftCorner,blocks,Block,GrChanged,Duct Soft Corner,,,,
ductSoftCorner2,blocks,Block,GrChanged,Duct Soft Corner2,,,,
ductTape,items,Item,KgNone,Duct Tape,,,,
ductTapeDesc,items,Item,KgNone,Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Cloth[-]\n\nDuct tape is useful for making many things & according to Madmole MacDyver a must have resource for making the cooler stuff.,,,,
dyeStation,blocks,Block Building,,Dye Station,,,,
dyeStationDesc,blocks,Block Building,,This workstation is used for dying your armors.,,,,
dynamite,items,Gun,EnChanged,Stick of Dynamite (Ammo),,,,
dynamiteDesc,items,Gun,KgNone,Type: [decea3]Grenade[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Ammunition Table[-]\nMaterial: [decea3]Iron[-]\n\nCan be lit with the secondary action & thrown with the primary action. The throwing part is very important.,,,,
dysentery,buffs,Buff,KgNone,Dysentery 1,,,,
dysentery2,buffs,Buff,KgNone,Dysentery 2,,,,
dysentery2Desc,buffs,Buff,EnChanged,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness... or die.,,,,
dysentery2Tooltip,buffs,Buff,KgNone,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness.,,,,
dysenteryDesc,buffs,Buff,EnChanged,You feel sick to your stomach and have diarrhea. Goldenrod tea may help. Dysentery is fatal if left untreated.,,,,
dysenteryTooltip,buffs,Buff,KgNone,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.,,,,
eacauth_ban_restricted,UI,AuthenticationMessages,New,Kicked by EAC: You are banned until {0}!,,,,
eacauth_ban_unrestricted,UI,AuthenticationMessages,New,Kicked by EAC: You are banned!,,,,
eacauth_ClientAuthenticationFailed,UI,AuthenticationMessages,New,Kicked by EAC: Authentication failed.,,,,
eacauth_ClientBanned,UI,AuthenticationMessages,New,Kicked by EAC: Banned account.,,,,
eacauth_ClientDisconnected,UI,AuthenticationMessages,New,Kicked by EAC: Communication to client module lost.,,,,
eacauth_ClientViolation,UI,AuthenticationMessages,New,Kicked by EAC: File or process integrity violation detected!,,,,
eacauth_message,UI,AuthenticationMessages,New,EAC message: {0},,,,
eacauth_unknown,UI,AuthenticationMessages,New,EAC kicked you for an unknown reason. Please report this incident on the official forum.,,,,
eacDisconnected,UI,Menu,KgNone,Connection lost,,,,
eacIntegrityViolation,UI,Menu,KgNone,Integrity violation,,,,
eacNetError,UI,Menu,KgNone,Network error,,,,
eacUnableToPlayOnProtected,UI,Menu,KgNone,You will not be able to play on EAC protected servers during this game session.,,,,
eacUnknown,UI,Menu,KgNone,Unknown state,,,,
earsPosition,UI,Menu UMA,KgNone,Ear Position,,,,
earsRotation,UI,Menu UMA,KgNone,Ear Rotation,,,,
earsSize,UI,Menu UMA,KgNone,Ear Size,,,,
egg,items,Food,KgNone,Egg,,,,
eggboiled,items,Food,KgNone,Boiled Egg,,,,
eggboiledDesc,items,Food,KgNone,"Type: [decea3]Food[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Campfire, Oven, Wall Oven[-]\nMaterial: [decea3]Organic[-]\n\nA boiled egg can fill you up and offers a small wellness boost.",,,,
eggDesc,items,Food,KgNone,Type: [decea3]Food Ingredient[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Organic[-]\n\nEggs can be eaten raw but should be cooked. Used in several campfire recipes.,,,,
electchaindesc,Blocks,Block,KgNone,"Only one side of this block will shock zombies. It is the inside of the block you place it on, not the outside facing side. Zombies can climb these, Place carefully. Crafts in groups of 5. No Power needed.",,,,
electricalBox01,blocks,Block,KgNone,Electrical Box01,,,,
electricalWires,items,Tool,,Electrical Wires,,,,
electricalWiresDesc,items,Tool,,These wires are required for making electric lights.,,,,
electricBasicsDesc,progression,Perk,New,This perk will unlock recipes for electrical devices.,,,,
electricBasicsName,progression,Perk,New,Electricity Basics,,,,
electricBatteryBankDesc,progression,Perk,New,This perk will unlock recipes for electrical devices. This perk cannot be bought but a schematic can be found in the world.,,,,
electricBatteryBankName,progression,Perk,New,Battery Bank,,,,
electricchainLink,blocks,Block,KgNone,Electrified Chain Link,,,,
electricchainLinkCornerBottom,blocks,Block,KgNone,Electrified Chain Link Corner Bottom,,,,
electricchainLinkCornerTop,blocks,Block,KgNone,Electrified Chain Link Fence Top,,,,
electricchainLinkFenceBottomPole,blocks,Block,KgNone,Electrified Chain Link Fence Bottom Pole,,,,
electricchainLinkFenceTop,blocks,Block,KgNone,Electrified Chain Link Corner Top,,,,
electricchainLinkFenceTopPole,blocks,Block,KgNone,Electrified Chain Link Fence Top Pole,,,,
electricchainLinkFenceTopPole2,blocks,Block,KgNone,Electrified Chain Link Fence Top Pole2,,,,
electricchainLinkPole,blocks,Block,KgNone,Electrified Chain Link Pole,,,,
electricfencepost,blocks,Electricity,New,Electric Fence Post,,,,
electricfencepostDesc,blocks,Electricity,New,Wire up 2 or more of these and shock your enemies.,,,,
electricGeneratorDesc,progression,Perk,New,This perk will unlock recipes for electrical devices.,,,,
electricGeneratorName,progression,Perk,New,Generator Bank,,,,
electricParts,items,Item,New,Electrical Parts,,,,
electricPartsDesc,items,Item,New,"Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\nMaterial: [decea3]Plastic[-]\n\nWires, switches, screw joints...",,,,
electricSolarBankDesc,progression,Perk,New,Trader Only,,,,
electricSolarBankName,progression,Perk,New,Solar Power,,,,
electrictimerrelay,blocks,Electricity,New,Electric Timer Relay,,,,
electrictimerrelayDesc,blocks,Electricity,New,Wire up one of these to trigger events based on time of day.,,,,
electricToolkit,items,Tool,,Electric Toolkit,,,,
electricToolkitDesc,items,Tool,,This toolkit is used in the Decor Artisan Station for crafting electric lights. Requires the Electrician perk to craft.,,,,
electricTrapsMeleeDesc,progression,Perk,New,This perk will unlock recipes for electrical devices.,,,,
electricTrapsMeleeName,progression,Perk,New,Melee Traps,,,,
electricTrapsRangedDesc,progression,Perk,New,This perk will unlock recipes for electrical devices.,,,,
electricTrapsRangedName,progression,Perk,New,Ranged Traps,,,,
electricTriggersDesc,progression,Perk,New,This perk will unlock recipes for electrical devices.,,,,
electricTriggersName,progression,Perk,New,Switches and Triggers,,,,
electricwirerelay,blocks,Electricity,New,Electric Wire Relay,,,,
electricwirerelayDesc,blocks,Electricity,New,Used to connect and extend wires between electrical components.,,,,
electronicParts,items,Item,New,Electronic Components,,,,
electronicPartsDesc,items,Item,New,"Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\n\nResistors, capacitors, the odd microchip or bits of circuit boards...",,,,
emberdesc,Blocks,block,Kgnone,"These offer a small defense on horde night, only a chance to light zombies on fire, and doesn't do much damage, but it looks damned cool! Make embers in the campfire.",,,,
emberitemdesc,Items,Item,KgNone,"Burn these in the campfire to make embers, which can be crafted into early game emberpiles for defense.",,,,
emberPile1,blocks,Block,KgNone,Ember Pile1,,,,
emberPile2,blocks,Block,KgNone,Ember Pile2,,,,
emberPile3,blocks,Block,KgNone,Ember Pile3,,,,
emberPile4,blocks,Block,KgNone,Ember Pile4,,,,
emptyJar,items,Item,KgNone,Glass Jar,,,,
emptyJarDesc,items,Item,KgNone,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Forge[-]\nMaterial: [decea3]Glass[-]\n\nCan be filled at water sources using the secondary action or used in other recipes.,,,,
endTable,blocks,Block,KgNone,End Table,,,,
endTableLamp,blocks,Block,KgNone,End Table Lamp,,,,
entitycommand_drive,entities,Radial,New,Drive,,,,
entitycommand_horn,entities,Radial,New,Honk horn,,,,
entitycommand_keypad,entities,Radial,New,Enter code,,,,
entitycommand_lock,entities,Radial,New,Lock,,,,
entitycommand_refuel,entities,Radial,New,Refuel,,,,
entitycommand_repair,entities,Radial,New,Repair,,,,
entitycommand_Search,entities,Radial,New,Search,,,,
entitycommand_service,entities,Radial,New,Open,,,,
entitycommand_take,entities,Radial,New,Take,,,,
entitycommand_talk,entities,Radial,New,Talk,,,,
entitycommand_trade,entities,Radial,New,Trade,,,,
entitycommand_unlock,entities,Radial,New,Unlock,,,,
EvisceratedRemains,entityclasses,Entity Info,New,Eviscerated Remains,,,,
expArchery,items,Item,,Experience - Archery,,,,
expArmorSmithing,items,Item,,Experience - Armor Smithing,,,,
expAthletics,items,Item,,Experience - Athletics,,,,
expBladeWeapons,items,Item,,Experience - Blade Weapons,,,,
expBluntWeapons,items,Item,,Experience - Blunt Weapons,,,,
expConstructionTools,items,Item,,Experience - Construction Tools,,,,
expGainDesc,items,Item,,Read this to gain a skill point in the relevant category.,,,,
expGunSmithing,items,Item,,Experience - Gun Smithing,,,,
expHeavyArmor,items,Item,,Experience - Heavy Armor,,,,
expLeatherworking,items,Item,,Experience - Leatherworking,,,,
expLightArmor,items,Item,,Experience - Light Armor,,,,
explodingCrossbowBolt,items,Ammo,EnChanged,Exploding Crossbow Bolt (Ammo),,,,
explodingCrossbowBoltDesc,items,Ammo,KgNone,Type: [decea3]Ammunition[-] [FDFF4F](Very Rare)[-]\nCrafted: [decea3]Ammunition Table[-]\nRequires: [decea3]Schematic[-]\nMaterial: [decea3]Iron[-]\n\nRifle grenades gone medieval. Ages 6 and up. Hold [decea3]Reload Button[-] to switch between ammo types.,,,,
explodingCrossbowBoltSchematic,items,Book,KgNone,Exploding Crossbow Bolt Schematic,,,,
explodingCrossbowBoltSchematicDesc,items,Book,KgNone,Type: [decea3]Schematic[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Paper[-]\n\nLearn to craft exploding crossbow bolts by reading this schematic.,,,,
expMedicine,items,Item,,Experience - Medicine,,,,
expMiscCrafting,items,Item,,Experience - Misc Crafting,,,,
expPistols,items,Item,,Experience - Pistols,,,,
expRifles,items,Item,,Experience - Rifles,,,,
expScavenging,items,Item,,Experience - Scavenging,,,,
expScience,items,Item,,Experience - Science,,,,
expShotguns,items,Item,,Experience - Shotguns,,,,
expTailoring,items,Item,,Experience - Tailoring,,,,
expToolSmithing,items,Item,,Experience - Tool Smithing,,,,
expWeaponSmithing,items,Item,,Experience - Weapon Smithing,,,,
extinguishFireBuffDesc,buffs,Buff,New,If you happen to be on fire then this will put out the fire and prevent another while the buff remains active.,,,,
extinguishFireBuffName,buffs,Buff,New,Extinguish Fire,,,,
eyeColor,UI,Menu UMA,KgNone,Eye Color,,,,
eyeglasses,items,Clothes,New,Strong Glasses,,,,
eyeglassesDesc,items,Item,,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\n,,,,
eyeRotation,UI,Menu UMA,KgNone,Eye Rotation,,,,
eyeSize,UI,Menu UMA,KgNone,Eye Size,,,,
facialPiercings,items,Clothes,New,Facial Piercings,,,,
facialPiercingsDesc,items,Clothes,New,Type: [decea3]Armor/Clothing[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Iron[-]\n\nThe risk of infection is not enough of a challenge? Try putting piercings of questionable origin into your skin!,,,,
fastEddie,progression,Skill,KgNone,Fast Eddie,,,,
fastEddieDesc,progression,Skill,KgNone,Loot 25% faster with each rank of this perk!,,,,
faucet02,blocks,Block,KgNone,Household Faucet,,,,
faucet02Desc,blocks,Block,,"Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Workbench[-]\nRequires: [decea3]Blacksmith (Level 5)[-]\nMaterial: [decea3]Iron[-]\n\nAlso called as Tap, Spigot, Silcock, Bib, which basically is a glorified valve controlling the release of liquids.",,,,
faucet04,blocks,Block,KgNone,Household Faucet,,,,
faucet04Desc,blocks,Block,,"Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Workbench[-]\nRequires: [decea3]Blacksmith (Level 5)[-]\nMaterial: [decea3]Iron[-]\n\nAlso called as Tap, Spigot, Silcock, Bib, which basically is a glorified valve controlling the release of liquids.",,,,
faucetBrass02,blocks,Block,KgNone,Brass Faucet,,,,
faucetBrass02Desc,blocks,Block,,"Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Workbench[-]\nRequires: [decea3]Blacksmith (Level 4)[-]\nMaterial: [decea3]Brass[-]\n\nAlso called as Tap, Spigot, Silcock, Bib, which basically is a glorified valve controlling the release of liquids.",,,,
faucetBrass04,blocks,Block,KgNone,Brass Faucet,,,,
faucetBrass04Desc,blocks,Block,,"Type: [decea3]Decorative Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Workbench[-]\nRequires: [decea3]Blacksmith (Level 4)[-]\nMaterial: [decea3]Brass[-]\n\nAlso called as Tap, Spigot, Silcock, Bib, which basically is a glorified valve controlling the release of liquids.",,,,
feather,items,Item,KgNone,Feather,,,,
featherDesc,items,Item,KgNone,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\n\nFeathers are primarily found in bird nests & on chickens. They can be used to craft arrows and crossbow bolts.,,,,
feetSize,UI,Menu UMA,KgNone,Foot Size,,,,
femur,items,Item,KgNone,Large Bone,,,,
femurDesc,items,Item,KgNone,Type: [decea3]Resource[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Bones[-]\n\nYou can get [decea3]Bone Powder[-] by scrapping it up into bits. [decea3]Bone Powder[-] is used to make [decea3]Glue[-].,,,,
fencesGroupDesc,blocks,Block,KgNone,Fences and railings can keep the neighbors out. Unless they have turned into zombies. Still useful for not falling from high places.,,,,
fertileDirt,blocks,Terrain,KgNone,Fertile Dirt,,,,
fertileDirtDesc,blocks,Terrain,KgNone,Replace missing pieces of terrain. Eventually grass will start growing here.,,,,
fertileFarmland,blocks,Terrain,KgNone,Fertile Farmland,,,,
fertileGrass,blocks,Terrain,KgNone,Fertile Grass,,,,
fertilizedFarmland,blocks,Block,New,Fertilized Farmland Soil,,,,
fertilizedFarmlandDesc,blocks,Block,,"Type: [decea3]Terrain Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Concrete Mixer[-]\nMaterial: [decea3]Dirt[-]\n\nA mixture of Fertilizer and Dirt, perfect soil to grow crops on.",,,,
fertilizer,items,Item,New,Fertilizer,,,,
fertilizerDesc,items,Item,New,"Type: [decea3]Resource[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Campfire, Oven, Wall Oven[-]\n\nFertilizer is made in a beaker or concrete mixer. Use a gardening hoe to fertilize your farmland and increase the yield of your crops.",,,,
fiberPulp,items,Item,,Fiber Pulp,,,,
fiberPulpDesc,items,Item,,This pulp can be used in the workbench with a paper rack to craft paper.,,,,
fireaxeIron,items,Tool,KgNone,Iron Fireaxe,,,,
fireaxeIronDesc,items,Tool,KgNone,Type: [decea3]Handheld Tool[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nGood tool for harvesting wood and has better chance to dismember than most weapons.,,,,
fireaxeSteel,items,Tool,KgNone,Steel Fireaxe,,,,
fireaxeSteelDesc,items,Tool,KgNone,Type: [decea3]Handheld Tool[-] [4FCBFF](Rare)[-]\nCrafted: [decea3]Workbench[-]\nMaterial: [decea3]Iron[-]\n\nGreat tool for harvesting wood and has better chance to dismember than most weapons.,,,,
firstAid,buffs,Buff,KgNone,First Aid,,,,
firstAidBandage,items,Medical,KgNone,First Aid Bandage,,,,
firstAidBandageDesc,items,Medical,KgNone,Type: [decea3]Medicine[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Cloth[-]\n\nA first aid bandage can stop bleeding and restore some health.,,,,
firstAidDesc,buffs,Buff,KgNone,You applied a first aid bandage and are now healing.,,,,
firstAidKit,items,Medical,KgNone,First Aid Kit,,,,
firstAidKitDesc,items,Medical,KgNone,Type: [decea3]Medicine[-] [FDFF4F](Very Rare)[-]\nCrafted: [decea3]Chemistry Station[-]\nMaterial: [decea3]Plastic[-]\n\nA first aid kit can stop bleeding and restore a lot of health.,,,,
firstAidKitSchematic,items,Book,KgNone,First Aid Kit Schematic,,,,
firstAidKitSchematicDesc,items,Book,KgNone,Type: [decea3]Schematic[-] [4FCBFF](Rare)[-]\nMaterial: [decea3]Paper[-]\n\nLearn to make first aid kits by reading this schematic.,,,,
firstAidLarge,buffs,Buff,KgNone,First Aid,,,,
firstAidLargeDesc,buffs,Buff,KgNone,You applied first aid and are now healing.,,,,
firstAidLargeTooltip,buffs,Buff,KgNone,You applied first aid and are now healing.,,,,
firstAidTooltip,buffs,Buff,KgNone,You applied first aid and are now healing.,,,,
fishDinner,items,Food,,Fish Dinner Large Plate,,,,
fishdinnerDesc,items,Food,,Large Fish Dinner with the all the trimmings.,,,,
fishdinnerSingle,items,Food,,Fish Dinner,,,,
fishdinnersingleDesc,items,Food,,Regular Fish Dinner. It will keep you going.,,,,
fishGrilled,items,Food,,Fish Grilled,,,,
fishgrilledDesc,items,Food,,Grilled Fish. Yummy...,,,,
fishingWeight,items,Item,KgNone,Lead Fishing Weight,,,,
fishingWeightDesc,items,Item,KgNone,Type: [decea3]Junk[-] [CCCCCC](Common)[-]\nMaterial: [decea3]Lead[-]\n\nLead objects can be scrapped into scrap lead in your backpack or smelted in a forge as a core resource.,,,,
fishMulti,items,Food,,Fish Multiple Assorted,,,,
fishmultiDesc,items,Food,,Multiple Fish here. You can eat them all or best if you actually cook them.,,,,
fishPie,items,Food,,Fish Pie,,,,
fishSingle,items,Food,,Fish,,,,
fishsingleDesc,items,Food,,"Fish, good for the soul. You can eat it raw but, taste much better cooked.",,,,
flagdesc,Blocks,block,Kgnone,"Careful, this flagpole is really heavy. Make sure there is no space underneath it, or it will collapse",,,,
flagPoleWhiteRiver,blocks,Block,New,White River Flagpole,,,,
flagstoneArch,blocks,Block,New,Flagstone Arch 2m,,,,
flagstoneArch3m,blocks,Block,New,Flagstone Arch 3m Corner,,,,
flagstoneArch3m_center,blocks,Block,New,Flagstone Arch 3m Middle,,,,
flagstoneArch3m_tip,blocks,Block,New,Flagstone Arch 3m Tip,,,,
flagstoneArrowSlitHalf,blocks,Block,New,Flagstone Arrow Slit,,,,
flagstoneArrowSlitHalfDesc,items,Item,KgNone,Type: [decea3]Block[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Carpenters Table[-]\nMaterial: [decea3]Stone[-]\n\nArrow slits are another medieval classic that make it much easier for you to shoot outside than it is for others to shoot inside.,,,,
flagstoneBlock,blocks,Block,KgNone,Flagstone Block,,,,
flagstoneCNRFull,blocks,Block,New,flagstone Corner Full,,,,
flagstoneCNRInside,blocks,Block,New,Flagstone Inside Corner,,,,
flagstoneCNRRamp,blocks,Block,New,Flagstone Ramp Corner,,,,
flagstoneCNRRampFiller,blocks,Block,New,Flagstone Ramp Corner Filler,,,,
flagstoneCNRRound,blocks,Block,,Flagstone Round Corner,,,,
flagstoneCTRpole,blocks,Block,New,flagstone Pole Centered,,,,
flagstoneGable,blocks,Block,KgNone,Flagstone Gable,,,,
flagstoneGroupDesc,blocks,Block,EnChanged,"Type: [decea3]Block[-] [CCCCCC](Common)[-]\nCrafted: [decea3]Carpenters Table[-]\nMaterial: [decea3]Stone[-]\n\nRelatively easy to craft early on. Upgrade & repair with cobblestone rocks. Upgrade more with iron, concrete mix & others.",,,,
flagstoneHalf,blocks,Block,New,flagstone 1/2 Block,,,,
flagstonePillar100,blocks,Block,New,Flagstone Pillar 100,,,,
flagstonePillar50,blocks,Block,New,Flagstone Pillar 50,,,,
flagstonePlate,blocks,Block,New,flagstone Plate,,,,
flagstonePole,blocks,Block,New,Flagstone Pole,,,,
